i,j,l,t,f
1,1,0.0,0.0,0.0
1,2,4726.653149957166,78.77755249928609,1603.5921514965264
1,3,1204.3492018513568,20.072486697522613,408.594594627161
1,4,6362.502102160753,106.0417017026792,2158.5798896620104
1,5,3656.991249647721,60.94985416079535,1240.6923630687188
1,6,3129.520889848796,52.15868149747993,1061.7396660365132
1,7,2413.5223222502004,40.22537203750334,818.8257802367339
1,8,562.3041881401916,9.371736469003194,190.77062654013633
1,9,462.0822437618654,7.701370729364424,156.7687401494961
1,10,5653.503338638795,94.22505564397991,1918.0407985685893
1,11,1712.356563336036,28.539276055600602,580.9441603630503
1,12,1603.5663378856516,26.726105631427526,544.0353485342501
1,13,2367.1977103740196,39.453295172900326,803.1094199139037
1,14,2200.3654241966265,36.67275706994378,746.5089171389722
1,15,1289.4452295464123,21.490753825773538,437.4647735478543
1,16,1003.8849535678877,16.73141589279813,340.58391455305076
1,17,3832.687046968484,63.878117449474736,1300.2999527724512
1,18,2257.5989457828864,37.62664909638144,765.9262983401007
1,19,3418.9039179245738,56.981731965409566,1159.917454394608
1,20,2266.984781598677,37.78307969331128,769.1105922097646
1,21,2956.020466776237,49.26700777960395,1002.876891914193
1,22,719.9569431570196,11.999282385950327,244.25682757629255
1,23,1699.3133907552192,28.32188984592032,576.5190569087378
1,24,5278.156591083671,87.96927651806118,1790.6984530709935
1,25,2577.884791840008,42.9647465306668,874.5883585078284
1,26,6075.466237252907,101.25777062088179,2061.1984136871106
1,27,3464.6784843618607,57.744641406031015,1175.4472030662776
1,28,2653.682912482198,44.228048541369965,900.3040747881955
1,29,3624.6459137410925,60.41076522901821,1229.7186941423545
1,30,3114.9210262862202,51.91535043810367,1056.7864304427235
1,31,1573.1576526209953,26.219294210349922,533.7187190967436
1,32,3950.066455137179,65.83444091895299,1340.1227812548696
1,33,1747.3591502607585,29.122652504345975,592.8193439007017
1,34,2141.2381931957034,35.68730321992839,726.4490649423577
1,35,6754.234967781325,112.57058279635542,2291.4814859634203
1,36,2382.115026609756,39.701917110162604,808.1703563689588
1,37,3305.89594512592,55.09826575209867,1121.5777047901556
1,38,1028.9047574970193,17.14841262495032,349.0722804093652
1,39,3529.2883135272473,58.82147189212079,1197.3671137667452
1,40,824.3136538963794,13.73856089827299,279.6614991247321
1,41,2187.0002286236736,36.45000381039456,741.9745622700947
1,42,4819.396227744716,80.32327046241194,1635.0567136142472
1,43,3488.9872456058074,58.14978742676346,1183.694336398612
1,44,1946.9003569777267,32.44833928296211,660.5168674633045
1,45,6834.318181062395,113.90530301770657,2318.650987978881
1,46,1541.7292239560097,25.695487065933495,523.0561255147509
1,47,2378.534422706554,39.642240378442565,806.9555796263825
1,48,3743.0792136955906,62.384653561593176,1269.8990721513876
2,1,4726.653149957166,78.77755249928609,1603.5921514965264
2,2,0.0,0.0,0.0
2,3,3587.4231699090087,59.790386165150146,1217.090287112565
2,4,2011.6622479929379,33.52770413321563,682.4883675614251
2,5,1841.400825458705,30.690013757645083,624.7244758146817
2,6,6976.770671306317,116.27951118843862,2366.980257774859
2,7,6500.002769230179,108.33337948716965,2205.2291747994377
2,8,5186.866877027017,86.44778128378361,1759.726967681815
2,9,5027.708225424383,83.79513709040639,1705.7298673117432
2,10,2326.8351896943627,38.780586494906046,789.4157937215311
2,11,4147.82364620291,69.13039410338183,1407.2150491734237
2,12,4722.743376470926,78.71238960784876,1602.2656987449172
2,13,3634.91746811396,60.58195780189933,1233.2034820998012
2,14,3124.1424423351764,52.069040705586275,1059.9149422951161
2,15,4906.110985291711,81.76851642152852,1664.4760723464499
2,16,3929.6510023156,65.49418337192667,1333.1965146397215
2,17,7462.7850029328865,124.37975004888145,2531.8683388303225
2,18,6337.100362153025,105.61833936921708,2149.961945924989
2,19,7242.331806814708,120.70553011357848,2457.0760907317626
2,20,5104.555808295174,85.0759301382529,1731.801630321093
2,21,4042.9421217722124,67.38236869620354,1371.6323262449216
2,22,4021.3709105229277,67.02284850871546,1364.3139502270112
2,23,3676.2399268818135,61.27066544803022,1247.2227825346702
2,24,2862.58641790951,47.70977363182517,971.1779068836152
2,25,3105.933032117724,51.7655505352954,1053.7371106705655
2,26,1849.1565644909574,30.81927607484929,627.355733460758
2,27,7172.8770378419285,119.54795063069881,2433.512457252593
2,28,6629.004827272341,110.48341378787235,2248.995171846457
2,29,1203.184108937614,20.053068482293565,408.19931835175686
2,30,6813.088653466943,113.55147755778238,2311.448533567274
2,31,6000.585388110064,100.00975646850107,2035.7938963313266
2,32,3446.9071644011533,57.44845274001922,1169.4180005192316
2,33,5252.220292409677,87.53700487349462,1781.8991518163918
2,34,2655.554367735671,44.259239462261185,900.9389957060492
2,35,3122.584826710077,52.043080445167945,1059.3864964557
2,36,6273.403063728649,104.55671772881081,2128.351625771544
2,37,7182.761725130523,119.71269541884205,2436.8659944073406
2,38,5621.924670430937,93.69874450718228,1907.3272338355198
2,39,3084.1144596139748,51.401907660232915,1046.3348134183996
2,40,4563.010957690109,76.05018262816847,1548.0739387468736
2,41,2755.068783170395,45.91781305283992,934.700841665348
2,42,1590.9022597255935,26.515037662093224,539.7388588830914
2,43,7026.701217498863,117.11168695831438,2383.9199885852377
2,44,6185.678378318744,103.09463963864573,2098.589632971819
2,45,3471.2080029868566,57.85346671644761,1177.6624459639268
2,46,5460.747659432726,91.01246099054543,1852.645372984202
2,47,4389.055479257468,73.15092465429113,1489.0567798662958
2,48,2087.276694643046,34.787944910717435,708.1417695228035
3,1,1204.3492018513568,20.072486697522613,408.594594627161
3,2,3587.4231699090087,59.790386165150146,1217.090287112565
3,3,0.0,0.0,0.0
3,4,5162.02770236658,86.033795039443,1751.2998831737234
3,5,2457.865740841025,40.964429014017085,833.8699892714958
3,6,3677.3958176949077,61.28993029491513,1247.6149368512783
3,7,3070.3604022980753,51.17267337163459,1041.6685310271878
3,8,1741.999138920568,29.033318982009465,591.0008749239502
3,9,1443.5875449725936,24.059792416209895,489.7600021988431
3,10,4461.98935453683,74.36648924228051,1513.800755416368
3,11,1183.6249405956264,19.72708234326044,401.56355984612276
3,12,1519.9611837149,25.332686395248334,515.6709721352564
3,13,1497.155970498732,24.952599508312197,507.93394135122617
3,14,1102.7443039979848,18.379071733299746,374.1235193055563
3,15,1500.8564221803497,25.014273703005827,509.18937835609466
3,16,950.2389173255324,15.837315288758873,322.38364473255024
3,17,4297.459831109536,71.62433051849227,1457.9815014776982
3,18,2902.4437979054824,48.37406329842471,984.7001560762251
3,19,3966.38437370863,66.10640622847717,1345.6588942971762
3,20,2168.7943655404492,36.14657275900749,735.7979340671677
3,21,2208.8988206796616,36.81498034466103,749.4040074262566
3,22,651.6417727555531,10.860696212592552,221.0798210119475
3,23,827.1184921158516,13.78530820193086,280.6130850381186
3,24,4135.799076357554,68.92998460595923,1403.1355228749246
3,25,1517.2781551185662,25.287969251976104,514.7607120711431
3,26,4872.961009488994,81.21601682481656,1653.2294165557623
3,27,3953.0557800263837,65.88426300043973,1341.136957201045
3,28,3253.0554867693236,54.217591446155396,1103.6507400618711
3,29,2445.9830334652775,40.766383891087955,829.8385920689209
3,30,3580.280435943531,59.671340599058844,1214.6670011713547
3,31,2440.564279014179,40.676071316902984,828.0001935588151
3,32,2959.625989884533,49.32709983140888,1004.1001228928728
3,33,1965.1506303589047,32.752510505981746,666.7085625651523
3,34,949.2944748601458,15.82157458100243,322.06322762619925
3,35,5563.6600363429825,92.72766727238304,1887.5600313416985
3,36,2915.055574084309,48.584259568071815,988.9789014495724
3,37,3877.7654648005723,64.62942441334287,1315.5935219733292
3,38,2034.562360803915,33.90937268006525,690.2575945402233
3,39,2481.963134295109,41.36605223825181,842.0454127241014
3,40,1026.938167564143,17.11563612606905,348.40508354056146
3,41,1394.8766970596362,23.247944950993936,473.2340734014937
3,42,3616.9076571015744,60.28179428502624,1227.0933676756747
3,43,3890.774344523208,64.8462390753868,1320.0069910308525
